CPS_Aspect,CPS_Concern1,CPS_Concern2,CPS_Concern3,CPS_Concern4,Level,Pad,To Pad,Sum,Satisfied,Aspect Tree
Business,,,,,1,203,203,9,TRUE,Business
Business,Cost,,,,2,203,203,1,TRUE,Business
Business,,,,,1,203,203,9,TRUE,Business
Business,Environment,,,,2,203,203,1,TRUE,Business
Business,,,,,1,203,203,9,TRUE,Business
Business,Planning,,,,2,203,203,1,TRUE,Business
Business,,,,,1,203,203,9,TRUE,Business
Business,TimeToMarket,,,,2,203,203,1,TRUE,Business
Business,,,,,1,203,203,9,TRUE,Business
Business,Quality,,,,2,203,203,1,TRUE,Business
Business,,,,,1,203,203,9,TRUE,Business
Business,Enterprise,,,,2,203,203,1,TRUE,Business
Business,,,,,1,203,203,9,TRUE,Business
Business,Policy,,,,2,203,203,1,TRUE,Business
Business,,,,,1,203,203,9,TRUE,Business
Business,Utility,,,,2,203,203,1,TRUE,Business
Business,,,,,1,203,203,9,TRUE,Business
Business,Regulatory,,,,2,203,203,1,TRUE,Business
Composition,,,,,1,203,203,4,TRUE,Composition
Composition,Discoverability,,,,2,203,203,1,TRUE,Composition
Composition,,,,,1,203,203,4,TRUE,Composition
Composition,Complexity,,,,2,203,203,1,TRUE,Composition
Composition,,,,,1,203,203,4,TRUE,Composition
Composition,Adaptability,,,,2,203,203,1,TRUE,Composition
Composition,,,,,1,203,203,4,TRUE,Composition
Composition,Constructivity,,,,2,203,203,1,TRUE,Composition
Data,,,,,1,203,203,26,FALSE,Data
Data,OperationsOnData,,,,2,203,203,5,TRUE,Data
Data,OperationsOnData,Analytics,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,Identity,,,,2,203,203,10,FALSE,Data
Data,Identity,ResourceIdentification,,,3,203,203,4,TRUE,Data
Data,Identity,ResourceIdentification,DeviceIdentification,,4,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,RelationshipBetweenData,,,,2,203,203,7,TRUE,Data
Data,RelationshipBetweenData,RelatedData,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,DataSemantics,,,,2,203,203,3,TRUE,Data
Data,DataSemantics,Meaning,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,Identity,,,,2,203,203,10,FALSE,Data
Data,Identity,Authentication,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,RelationshipBetweenData,,,,2,203,203,7,TRUE,Data
Data,RelationshipBetweenData,DataQuality,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,RelationshipBetweenData,,,,2,203,203,7,TRUE,Data
Data,RelationshipBetweenData,TimeOfData,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,Identity,,,,2,203,203,10,FALSE,Data
Data,Identity,Configuration,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,OperationsOnData,,,,2,203,203,5,TRUE,Data
Data,OperationsOnData,Aggregation_Disaggregation,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,Identity,,,,2,203,203,10,FALSE,Data
Data,Identity,Provenance,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,RelationshipBetweenData,,,,2,203,203,7,TRUE,Data
Data,RelationshipBetweenData,LocationOfData,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,RelationshipBetweenData,,,,2,203,203,7,TRUE,Data
Data,RelationshipBetweenData,Polymorphism,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,RelationshipBetweenData,,,,2,203,203,7,TRUE,Data
Data,RelationshipBetweenData,Inheritance,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,DataSemantics,,,,2,203,203,3,TRUE,Data
Data,DataSemantics,DataModels,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,OperationsOnData,,,,2,203,203,5,TRUE,Data
Data,OperationsOnData,Fusion,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,Identity,,,,2,203,203,10,FALSE,Data
Data,Identity,ResourceIdentification,,,3,203,203,4,TRUE,Data
Data,Identity,ResourceIdentification,ClassIdentification,,4,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,Identity,,,,2,203,203,10,FALSE,Data
Data,Identity,ResourceIdentification,,,3,203,203,4,TRUE,Data
Data,Identity,ResourceIdentification,ObjectIdentification,,4,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,Identity,,,,2,203,203,10,FALSE,Data
Data,Identity,ResourceIdentification,,,3,203,203,4,TRUE,Data
Data,Identity,ResourceIdentification,UserIdentification,,4,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,Velocity,,,,2,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,RelationshipBetweenData,,,,2,203,203,7,TRUE,Data
Data,RelationshipBetweenData,DirectionalityOfRelationships,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,DataSemantics,,,,2,203,203,3,TRUE,Data
Data,DataSemantics,Granularity,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,OperationsOnData,,,,2,203,203,5,TRUE,Data
Data,OperationsOnData,Transformation,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,Identity,,,,2,203,203,10,FALSE,Data
Data,Identity,DataIntegrity,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,OperationsOnData,,,,2,203,203,5,TRUE,Data
Data,OperationsOnData,Storage,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,Identity,,,,2,203,203,10,FALSE,Data
Data,Identity,Verification,,,3,203,203,1,TRUE,Data
Data,,,,,1,203,203,26,FALSE,Data
Data,Identity,,,,2,203,203,10,FALSE,Data
Data,Identity,Authorization,,,3,203,203,1,TRUE,Data
Functional,,,,,1,203,203,13,TRUE,Functional
Functional,Communication,,,,2,203,203,1,TRUE,Functional
Functional,,,,,1,203,203,13,TRUE,Functional
Functional,Measurability,,,,2,203,203,1,TRUE,Functional
Functional,,,,,1,203,203,13,TRUE,Functional
Functional,Actuation,,,,2,203,203,1,TRUE,Functional
Functional,,,,,1,203,203,13,TRUE,Functional
Functional,StatesAndModes,,,,2,203,203,1,TRUE,Functional
Functional,,,,,1,203,203,13,TRUE,Functional
Functional,Sensing,,,,2,203,203,1,TRUE,Functional
Functional,,,,,1,203,203,13,TRUE,Functional
Functional,Monitorability,,,,2,203,203,1,TRUE,Functional
Functional,,,,,1,203,203,13,TRUE,Functional
Functional,Functionality,,,,2,203,203,1,TRUE,Functional
Functional,,,,,1,203,203,13,TRUE,Functional
Functional,Uncertainty,,,,2,203,203,1,TRUE,Functional
Functional,,,,,1,203,203,13,TRUE,Functional
Functional,PhysicalContext,,,,2,203,203,1,TRUE,Functional
Functional,,,,,1,203,203,13,TRUE,Functional
Functional,Performance,,,,2,203,203,1,TRUE,Functional
Functional,,,,,1,203,203,13,TRUE,Functional
Functional,Physical,,,,2,203,203,1,TRUE,Functional
Functional,,,,,1,203,203,13,TRUE,Functional
Functional,Manageability,,,,2,203,203,1,TRUE,Functional
Functional,,,,,1,203,203,13,TRUE,Functional
Functional,Controllability,,,,2,203,203,1,TRUE,Functional
Human,,,,,1,203,203,2,TRUE,Human
Human,HumanFactors,,,,2,203,203,1,TRUE,Human
Human,,,,,1,203,203,2,TRUE,Human
Human,Usability,,,,2,203,203,1,TRUE,Human
Lifecycle,,,,,1,203,203,9,TRUE,Lifecycle
Lifecycle,Procureability,,,,2,203,203,1,TRUE,Lifecycle
Lifecycle,,,,,1,203,203,9,TRUE,Lifecycle
Lifecycle,Engineerability,,,,2,203,203,1,TRUE,Lifecycle
Lifecycle,,,,,1,203,203,9,TRUE,Lifecycle
Lifecycle,Maintainability,,,,2,203,203,3,TRUE,Lifecycle
Lifecycle,Maintainability,ConfigurationForLeastFFunctionality,,,3,203,203,1,TRUE,Lifecycle
Lifecycle,,,,,1,203,203,9,TRUE,Lifecycle
Lifecycle,Producibility,,,,2,203,203,1,TRUE,Lifecycle
Lifecycle,,,,,1,203,203,9,TRUE,Lifecycle
Lifecycle,Deployability,,,,2,203,203,1,TRUE,Lifecycle
Lifecycle,,,,,1,203,203,9,TRUE,Lifecycle
Lifecycle,Disposability,,,,2,203,203,1,TRUE,Lifecycle
Lifecycle,,,,,1,203,203,9,TRUE,Lifecycle
Lifecycle,Maintainability,,,,2,203,203,3,TRUE,Lifecycle
Lifecycle,Maintainability,ComponentInventory,,,3,203,203,1,TRUE,Lifecycle
Lifecycle,,,,,1,203,203,9,TRUE,Lifecycle
Lifecycle,Maintainability,,,,2,203,203,3,TRUE,Lifecycle
Lifecycle,Maintainability,ConfigurationManagement,,,3,203,203,1,TRUE,Lifecycle
Lifecycle,,,,,1,203,203,9,TRUE,Lifecycle
Lifecycle,Operatability,,,,2,203,203,1,TRUE,Lifecycle
Timing,,,,,1,203,203,5,TRUE,Timing
Timing,TimeAwareness,,,,2,203,203,1,TRUE,Timing
Timing,,,,,1,203,203,5,TRUE,Timing
Timing,Synchronization,,,,2,203,203,1,TRUE,Timing
Timing,,,,,1,203,203,5,TRUE,Timing
Timing,TimeIntervalAndLatencyControl,,,,2,203,203,1,TRUE,Timing
Timing,,,,,1,203,203,5,TRUE,Timing
Timing,ManagingTimingAndLatency,,,,2,203,203,1,TRUE,Timing
Timing,,,,,1,203,203,5,TRUE,Timing
Timing,LogicalTime,,,,2,203,203,1,TRUE,Timing
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Privacy,,,,2,203,203,3,FALSE,Trustworthiness
Trustworthiness,Privacy,Manageability,,,3,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Security,,,,2,203,203,6,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,,,3,203,203,4,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,Confidentiality,,4,203,203,2,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,Confidentiality,Verification,5,203,203,1,FALSE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Safety,,,,2,203,203,4,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,,,3,203,203,3,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,,4,203,203,3,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,Severity,5,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Security,,,,2,203,203,6,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,,,3,203,203,4,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,Integrity,,4,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Security,,,,2,203,203,6,FALSE,Trustworthiness
Trustworthiness,Security,PhysicalSecurity,,,3,203,203,2,TRUE,Trustworthiness
Trustworthiness,Security,PhysicalSecurity,Physical_Integrity,,4,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Security,,,,2,203,203,6,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,,,3,203,203,4,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,Confidentiality,,4,203,203,2,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,Confidentiality,Encryption,5,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Reliability,,,,2,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Safety,,,,2,203,203,4,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,,,3,203,203,3,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,,4,203,203,3,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,Frequency,5,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Privacy,,,,2,203,203,3,FALSE,Trustworthiness
Trustworthiness,Privacy,Dissociability,,,3,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Resilience,,,,2,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Security,,,,2,203,203,6,FALSE,Trustworthiness
Trustworthiness,Security,PhysicalSecurity,,,3,203,203,2,TRUE,Trustworthiness
Trustworthiness,Security,PhysicalSecurity,Stability,,4,203,203,1,TRUE,Trustworthiness
Trustworthiness,Security,PhysicalSecurity,Stability,Functional_Stability,5,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Safety,,,,2,203,203,4,TRUE,Trustworthiness
Trustworthiness,Safety,Human_Safety,,,3,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Safety,,,,2,203,203,4,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,,,3,203,203,3,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,,4,203,203,3,TRUE,Trustworthiness
Trustworthiness,Safety,Functional_Safety,Hazard,Controllability,5,203,203,1,TRUE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Privacy,,,,2,203,203,3,FALSE,Trustworthiness
Trustworthiness,Privacy,Predictability,,,3,203,203,1,FALSE,Trustworthiness
Trustworthiness,Privacy,Predictability,Controls,,4,203,203,1,FALSE,Trustworthiness
Trustworthiness,Privacy,Predictability,Controls,Authorization,5,203,203,1,FALSE,Trustworthiness
Trustworthiness,,,,,1,203,203,15,FALSE,Trustworthiness
Trustworthiness,Security,,,,2,203,203,6,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,,,3,203,203,4,FALSE,Trustworthiness
Trustworthiness,Security,Cybersecurity,Availability,,4,203,203,1,TRUE,Trustworthiness
