CPS_Aspect,CPS_Concern1,CPS_Concern2,CPS_Concern3,CPS_Concern4,CPS_Concern5,CPS_Concern6,CPS_Concern7,CPS_Concern8,CPS_Concern9,Level,Pad,To Pad,Sum,Satisfied,Aspect Tree
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,reliability,,,,,,,,,2,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,resilience,,,,,,,,,2,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,privacy,,,,,,,,,2,1,1,6,Unsatisfied,trustworthiness
trustworthiness,privacy,manageability,,,,,,,,3,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,privacy,,,,,,,,,2,1,1,6,Unsatisfied,trustworthiness
trustworthiness,privacy,dissociability,,,,,,,,3,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,safety,,,,,,,,,2,1,1,3,Satisfied,trustworthiness
trustworthiness,safety,functional_safety,,,,,,,,3,1,1,3,Satisfied,trustworthiness
trustworthiness,safety,functional_safety,severity,,,,,,,4,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,safety,,,,,,,,,2,1,1,3,Satisfied,trustworthiness
trustworthiness,safety,functional_safety,,,,,,,,3,1,1,3,Satisfied,trustworthiness
trustworthiness,safety,functional_safety,controllability,,,,,,,4,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,safety,,,,,,,,,2,1,1,3,Satisfied,trustworthiness
trustworthiness,safety,functional_safety,,,,,,,,3,1,1,3,Satisfied,trustworthiness
trustworthiness,safety,functional_safety,frequency,,,,,,,4,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,security,,,,,,,,,2,1,1,5,Satisfied,trustworthiness
trustworthiness,security,cyber_security,,,,,,,,3,1,1,4,Satisfied,trustworthiness
trustworthiness,security,cyber_security,integrity,,,,,,,4,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,security,,,,,,,,,2,1,1,5,Satisfied,trustworthiness
trustworthiness,security,cyber_security,,,,,,,,3,1,1,4,Satisfied,trustworthiness
trustworthiness,security,cyber_security,availability,,,,,,,4,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,privacy,,,,,,,,,2,1,1,6,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,,,,,,,,3,1,1,4,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,transparency,,,,,,,4,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,privacy,,,,,,,,,2,1,1,6,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,,,,,,,,3,1,1,4,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,innovation,,,,,,,4,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,security,,,,,,,,,2,1,1,5,Satisfied,trustworthiness
trustworthiness,security,physical_security,,,,,,,,3,1,1,1,Satisfied,trustworthiness
trustworthiness,security,physical_security,ultility,,,,,,,4,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,security,,,,,,,,,2,1,1,5,Satisfied,trustworthiness
trustworthiness,security,cyber_security,,,,,,,,3,1,1,4,Satisfied,trustworthiness
trustworthiness,security,cyber_security,confidentiality,,,,,,,4,1,1,2,Satisfied,trustworthiness
trustworthiness,security,cyber_security,confidentiality,encryption,,,,,,5,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,security,,,,,,,,,2,1,1,5,Satisfied,trustworthiness
trustworthiness,security,cyber_security,,,,,,,,3,1,1,4,Satisfied,trustworthiness
trustworthiness,security,cyber_security,confidentiality,,,,,,,4,1,1,2,Satisfied,trustworthiness
trustworthiness,security,cyber_security,confidentiality,verification,,,,,,5,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,privacy,,,,,,,,,2,1,1,6,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,,,,,,,,3,1,1,4,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,controls,,,,,,,4,1,1,2,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,controls,authorization,,,,,,5,1,1,1,Unsatisfied,trustworthiness
trustworthiness,,,,,,,,,,1,1,1,16,Unsatisfied,trustworthiness
trustworthiness,privacy,,,,,,,,,2,1,1,6,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,,,,,,,,3,1,1,4,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,controls,,,,,,,4,1,1,2,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,controls,authentication,,,,,,5,1,1,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,reliability,,,,,,,,,2,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,resilience,,,,,,,,,2,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,privacy,,,,,,,,,2,203,203,6,Unsatisfied,trustworthiness
trustworthiness,privacy,manageability,,,,,,,,3,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,privacy,,,,,,,,,2,203,203,6,Unsatisfied,trustworthiness
trustworthiness,privacy,dissociability,,,,,,,,3,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,safety,,,,,,,,,2,203,203,3,Satisfied,trustworthiness
trustworthiness,safety,functional_safety,,,,,,,,3,203,203,3,Satisfied,trustworthiness
trustworthiness,safety,functional_safety,severity,,,,,,,4,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,safety,,,,,,,,,2,203,203,3,Satisfied,trustworthiness
trustworthiness,safety,functional_safety,,,,,,,,3,203,203,3,Satisfied,trustworthiness
trustworthiness,safety,functional_safety,controllability,,,,,,,4,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,safety,,,,,,,,,2,203,203,3,Satisfied,trustworthiness
trustworthiness,safety,functional_safety,,,,,,,,3,203,203,3,Satisfied,trustworthiness
trustworthiness,safety,functional_safety,frequency,,,,,,,4,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,security,,,,,,,,,2,203,203,5,Satisfied,trustworthiness
trustworthiness,security,cyber_security,,,,,,,,3,203,203,4,Satisfied,trustworthiness
trustworthiness,security,cyber_security,integrity,,,,,,,4,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,security,,,,,,,,,2,203,203,5,Satisfied,trustworthiness
trustworthiness,security,cyber_security,,,,,,,,3,203,203,4,Satisfied,trustworthiness
trustworthiness,security,cyber_security,availability,,,,,,,4,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,privacy,,,,,,,,,2,203,203,6,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,,,,,,,,3,203,203,4,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,transparency,,,,,,,4,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,privacy,,,,,,,,,2,203,203,6,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,,,,,,,,3,203,203,4,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,innovation,,,,,,,4,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,security,,,,,,,,,2,203,203,5,Satisfied,trustworthiness
trustworthiness,security,physical_security,,,,,,,,3,203,203,1,Satisfied,trustworthiness
trustworthiness,security,physical_security,ultility,,,,,,,4,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,security,,,,,,,,,2,203,203,5,Satisfied,trustworthiness
trustworthiness,security,cyber_security,,,,,,,,3,203,203,4,Satisfied,trustworthiness
trustworthiness,security,cyber_security,confidentiality,,,,,,,4,203,203,2,Satisfied,trustworthiness
trustworthiness,security,cyber_security,confidentiality,encryption,,,,,,5,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,security,,,,,,,,,2,203,203,5,Satisfied,trustworthiness
trustworthiness,security,cyber_security,,,,,,,,3,203,203,4,Satisfied,trustworthiness
trustworthiness,security,cyber_security,confidentiality,,,,,,,4,203,203,2,Satisfied,trustworthiness
trustworthiness,security,cyber_security,confidentiality,verification,,,,,,5,203,203,1,Satisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,privacy,,,,,,,,,2,203,203,6,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,,,,,,,,3,203,203,4,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,controls,,,,,,,4,203,203,2,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,controls,authorization,,,,,,5,203,203,1,Unsatisfied,trustworthiness
trustworthiness,,,,,,,,,,1,203,203,16,Unsatisfied,trustworthiness
trustworthiness,privacy,,,,,,,,,2,203,203,6,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,,,,,,,,3,203,203,4,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,controls,,,,,,,4,203,203,2,Unsatisfied,trustworthiness
trustworthiness,privacy,predictability,controls,authentication,,,,,,5,203,203,1,Satisfied,trustworthiness
